Mandal,Village
ELURU(Rural),PYDICHINTAPADU
ELURU(Rural),PRATHIKOLLANKA
ELURU(Rural),KOKKIRAILANKA
ELURU(Rural),GUDIVAKALANKA
ELURU(Rural),KOMATILANKA
ELURU(Rural),KALAKURRU
ELURU(Rural),SREEPARRU
ELURU(Rural),MADEPALLE
ELURU(Rural),KATLAMPUDI
ELURU(Rural),JALIPUDI
ELURU(Rural),CHATAPARRU
ELURU(Rural),MALKAPURAM
ELURU(Rural),MANURU
DENDULURU,DOSAPADU
DENDULURU,KOTHAPALLE
DENDULURU,CHALLAPALLE
DENDULURU,SOMAVARAPPADU
DENDULURU,VEGAVARAM
DENDULURU,UPPUGUDEM
DENDULURU,KOTHAGUDEM
DENDULURU,SINGAVARAM
DENDULURU,KOVVALI
DENDULURU,POTHUNURU
DENDULURU,GOPANNAPALEM
DENDULURU,DENDULURU
DENDULURU,KOMIREPALLE
DENDULURU,CHALLACHINTALAPUDI
DENDULURU,MUPPAVARAM
DENDULURU,GALAYAGUDEM
DENDULURU,MEDINARAOPALEM
DENDULURU,THIMMANNAGUDEM
DENDULURU,NARASIMHAPURAM
DENDULURU,MALAKACHERLA
DENDULURU,SRIRAMAVARAM
DENDULURU,GUDIGUNTA
DENDULURU,AKKIREDDIGUDEM
DENDULURU,NAGULADEVUNIPADU
DENDULURU,RAMARAOGUDEM
DENDULURU,SAANIGUDEM
PEDAVEGI,PINAKADIMI
PEDAVEGI,MYLAVARAPUVARIGUDEM
PEDAVEGI,NADUPALLE
PEDAVEGI,VIJAYARAI
PEDAVEGI,ALLIVEEDU
PEDAVEGI,JAGANNADHAPURAM
PEDAVEGI,KOPPAKA
PEDAVEGI,VANGURU
PEDAVEGI,SINGAVARAM
PEDAVEGI,MUTHANAVEEDU
PEDAVEGI,RAMASINGAVARAM
PEDAVEGI,DUGGIRALA
PEDAVEGI,BHOGAPURAM
PEDAVEGI,KAVAGUNTA
PEDAVEGI,PEDAVEGI
PEDAVEGI,MUNDUR
PEDAVEGI,CHAKRAYAGUDEM
PEDAVEGI,K.KANNAPURAM
PEDAVEGI,BATHEVARAM
PEDAVEGI,TALLAGOKAVARAM
PEDAVEGI,NYAYAMPALLE
PEDAVEGI,RAYANNAPALEM
PEDAVEGI,KONDALARAOPALEM
PEDAVEGI,BAPIRAJUGUDEM
PEDAVEGI,RAJAMPALEM
PEDAVEGI,GOKINEPALLE
PEDAVEGI,DONDAPADU
PEDAVEGI,VEGIVADA
PEDAPADU,TALLAMUDI
PEDAPADU,RAVULAKUNTA
PEDAPADU,PEDAPADU
PEDAPADU,GOGULAPADU
PEDAPADU,KOKKIRAPADU
PEDAPADU,KALAPARRU
PEDAPADU,PUNUKOLLU
PEDAPADU,NANDIKESWARAPURAM
PEDAPADU,EDULAKUNTA
PEDAPADU,VASANTAWADA-I
PEDAPADU,VASANTAWADA-II
PEDAPADU,EPURU
PEDAPADU,APPANAVEEDU
PEDAPADU,AMRUTALINGAMPETA
PEDAPADU,GOGUNTA
PEDAPADU,SAKALAKOTHAPALLE
PEDAPADU,SATYAVOLU
PEDAPADU,Pedapadu Block-II
PEDAPADU,VADDIGUDEM
PEDAPADU,RAJUPETA
PEDAPADU,TALLAGUDEM
PEDAPADU,BURUGAGUDEM
PEDAPADU,KOTHURU
PEDAPADU,VEMPADU
PEDAPADU,VATLURU
PEDAPADU,MUPPARRU
PEDAPADU,KONIKI
UNGUTURU,CHEBROLUKNAHDRIKA
UNGUTURU,GOPINADHAPATNAM
UNGUTURU,VELLAMILLI
UNGUTURU,BOMMIDI
UNGUTURU,KAGUPADU
UNGUTURU,A GOKAVARAM
UNGUTURU,CHEBROLU
UNGUTURU,UNGUTURU
UNGUTURU,KAIKARAM
UNGUTURU,TALLAPURAM
UNGUTURU,RACHURU
UNGUTURU,DONTHAVARAM
UNGUTURU,KAKARLAMUDI
UNGUTURU,VENKATADRIAPPARAOPURAM
UNGUTURU,RAVULAPARRU
UNGUTURU,BADAMPUDI
UNGUTURU,NALLAMADU
BHIMADOLE,MALLAVARAM
BHIMADOLE,CHETTUNNAPADU
BHIMADOLE,AGADALLANKA
BHIMADOLE,GUNDUGOLANU
BHIMADOLE,PULLA
BHIMADOLE,KODURUPADU
BHIMADOLE,DUDDEPUDI
BHIMADOLE,AMBERPETA
BHIMADOLE,BHIMADOLE
BHIMADOLE,SURAPPAGUDEM
BHIMADOLE,POLASANIPALLI
NIDAMARRU,PEDANINDRAKOLANU
NIDAMARRU,CHINANINDRAKOLANU
NIDAMARRU,NIDAMARRU
NIDAMARRU,GUNAPARRU
NIDAMARRU,VIPPARTHIKHANDRIKA
NIDAMARRU,MAUDALAPARRU
NIDAMARRU,NAGANAMILLI
NIDAMARRU,PEDARAMACHANDRAPURAM
NIDAMARRU,VENKATAPURAM
NIDAMARRU,DEVARAGOPAVARAM
NIDAMARRU,THIMMARAOGUDEM
NIDAMARRU,BYNEPALLELLE
NIDAMARRU,ADAVIKOLANU
NIDAMARRU,KAKARAMILLI
NIDAMARRU,AMUDALAPALLE
NIDAMARRU,ENIKAPALLE
NIDAMARRU,KRISHNAPURAM
NIDAMARRU,CHANAMILLI
NIDAMARRU,SIDDAPURAM
NIDAMARRU,BAVAYAPALEM
NIDAMARRU,KROVVIDI
NIDAMARRU,BUVVANAPALLE
NIDAMARRU,THOKALAPALLE
NIDAMARRU,NARASIMHAPURAM
KAIKALUR,VINJARAM
KAIKALUR,VARAHAPATNAM
KAIKALUR,SYAMALAMBAPURAM
KAIKALUR,DODDIPATLA
KAIKALUR,TAMARAKOLLU
KAIKALUR,VEMAVARAPPADU
KAIKALUR,RACHAPATNAM
KAIKALUR,VADARLAPADU
KAIKALUR,SEETANAPALLE
KAIKALUR,ACHAVARAM
KAIKALUR,GONEPADU
KAIKALUR,PENCHIKALAMARRU
KAIKALUR,GOPAVARAM
KAIKALUR,RAMAVARAM
KAIKALUR,BHUJABALAPATNAM
KAIKALUR,PALLEVADA
KAIKALUR,SINGAPURAM
KAIKALUR,ATAPAKA
KAIKALUR,KAIKALUR (U)
KAIKALUR,KOLLETIKOTA
KAIKALUR,KOTTADA
KAIKALUR,SOMESWARAM
KAIKALUR,ALAPADU
MANDAVALLI,SINGANAPUDI
MANDAVALLI,PUTLACHERUVU
MANDAVALLI,PASALAPUDI
MANDAVALLI,KANUKOLLU
MANDAVALLI,LINGALA
MANDAVALLI,PERIKEGUDEM
MANDAVALLI,CHINTALAPUDI
MANDAVALLI,MOKHASAKALVAPUDI
MANDAVALLI,GANNAVARAM
MANDAVALLI,MANDAVALLI
MANDAVALLI,AYYAVARI RUDRAVARAM
MANDAVALLI,SOBHANADRIPURAM
MANDAVALLI,MUDUTHALLAPADU
MANDAVALLI,LELLAPUDI
MANDAVALLI,PULAPARRU
MANDAVALLI,APPAPURAM
MANDAVALLI,LOKAMUDI
MANDAVALLI,UNIKILI
MANDAVALLI,PENUMAKALANKA
MANDAVALLI,MANUGUNURU
MANDAVALLI,KOVVADALANKA
MANDAVALLI,CHINTAPADU
MANDAVALLI,DAYYAMPADU
MANDAVALLI,PILLIPADU
MANDAVALLI,NANDIGAMALANKA
MANDAVALLI,INGILIPAKALANKA
MANDAVALLI,THAKKELLAPADU
MANDAVALLI,PRATHIPADU
MANDAVALLI,NUTCHUMILLI
MANDAVALLI,CHAVALIPADU
MANDAVALLI,BHYRAVAPATNAM
KALIDINDI,KORUKOLLU
KALIDINDI,MATTAGUNTA
KALIDINDI,KONDANGI
KALIDINDI,AMARAVATHI
KALIDINDI,KALIDINDI
KALIDINDI,KOTCHERLA
KALIDINDI,Pedalanka
KALIDINDI,SANA RUDRAVARAM
KALIDINDI,VENKATAPURAM
KALIDINDI,POTTUMARRU
KALIDINDI,THADINADA
KALIDINDI,KONDURU
KALIDINDI,KOLLAPALEM
KALIDINDI,AVAKURU
MUDINEPALLI,EDEPALLE
MUDINEPALLI,SINGARAYAPALEM
MUDINEPALLI,MUDINEPALLI
MUDINEPALLI,KAKARAVADA
MUDINEPALLI,PEDAGONNURU
MUDINEPALLI,DEVAPUDI
MUDINEPALLI,PRODDUVAKA
MUDINEPALLI,KODURU
MUDINEPALLI,UTUKURU
MUDINEPALLI,VAIVAKA
MUDINEPALLI,VADAVALLI
MUDINEPALLI,CHEVURU
MUDINEPALLI,DEVARAM
MUDINEPALLI,GURAJA
MUDINEPALLI,PENUMALLI
MUDINEPALLI,SANGHARSHANAPURAM
MUDINEPALLI,PERURU
MUDINEPALLI,BOMMINAMPADU
MUDINEPALLI,VANUDURRU
MUDINEPALLI,PEDAPALAPARRU
MUDINEPALLI,PEDA KAMANAPUDI
MUDINEPALLI,CHIGURUKOTA
MUDINEPALLI,DAKARAM
MUDINEPALLI,MULAKALAPALLE
MUDINEPALLI,ALLURU
MUDINEPALLI,KORRAGUNTAPALEM
MUDINEPALLI,GOKINAMPADU
MUDINEPALLI,KOMARRU
MUDINEPALLI,VADALI
MUDINEPALLI,PEYYERU
MUDINEPALLI,MADHAVARAM
MUDINEPALLI,CHINAPALAPARRU
MUDINEPALLI,CHINA KAMANAPUDI
JANGAREDDIGUDEM,PANGIDIGUDEM
JANGAREDDIGUDEM,NIMMALAGUDEM
JANGAREDDIGUDEM,AMMAPALEM
JANGAREDDIGUDEM,DEVULAPALLE
JANGAREDDIGUDEM,GURAVAIGUDEM
JANGAREDDIGUDEM,LAKKAVARAM
JANGAREDDIGUDEM,KETHAVARAM
JANGAREDDIGUDEM,TIRUMALAPURAM
JANGAREDDIGUDEM,JANGAREDDIGUDEM
JANGAREDDIGUDEM,RAMACHARLAGUDEM
JANGAREDDIGUDEM,CHAKRADEVARAPALLE
JANGAREDDIGUDEM,MANTHANAGUDEM-II
JANGAREDDIGUDEM,MANTHANAGUDEM-I
JANGAREDDIGUDEM,PATTENAPALEM
JANGAREDDIGUDEM,AYYAVARI POLAVARAM
JANGAREDDIGUDEM,TADUVAI
JANGAREDDIGUDEM,VEGAVARAM
JANGAREDDIGUDEM,PEDDIPALLE
JANGAREDDIGUDEM,MYSANAGUDEM
JANGAREDDIGUDEM,PULLEPUDI
JANGAREDDIGUDEM,SREENIVASAPURAM
JANGAREDDIGUDEM,AKKAMPETA
POLAVARAM,GEDDAPALLE
POLAVARAM,CHILAKALURU
POLAVARAM,DHARVADA
POLAVARAM,RAVIGUDEM
POLAVARAM,THUTIGUNTA
POLAVARAM,TEKURU
POLAVARAM,CHEEDURU
POLAVARAM,KONDRUKOTA
POLAVARAM,KORUTURU
POLAVARAM,VINJARAM
POLAVARAM,SIVAGIRI
POLAVARAM,SINGANAPALLE
POLAVARAM,CHEGONDAPALLE
POLAVARAM,SIRIVAKA
POLAVARAM,POLAVARAM
POLAVARAM,LAXMINARAYANA DEVIPETA
POLAVARAM,NAGAMPALEM
POLAVARAM,SARIPALLEKUNTA
POLAVARAM,PRAGADA PALLE
POLAVARAM,PATTISAM
POLAVARAM,GUTALA
POLAVARAM,PYDIPAKA
POLAVARAM,VENKATAPURAME
BUTTAYAGUDEM,RAGAPPAGUDEM
BUTTAYAGUDEM,KORSAVARIGUDEM
BUTTAYAGUDEM,JAINAVARIGUDEM
BUTTAYAGUDEM,MARLAGUDEM
BUTTAYAGUDEM,SEETARAMANAGARAM
BUTTAYAGUDEM,BUSARAJU PALLE
BUTTAYAGUDEM,LAKSHMUDUGUDEM
BUTTAYAGUDEM,KOYARAJAHMUNDRY
BUTTAYAGUDEM,NUTI RAMANNAPALEM
BUTTAYAGUDEM,RAJANAGARAM
BUTTAYAGUDEM,ATCHIAHPALEM
BUTTAYAGUDEM,DORAMAMIDI
BUTTAYAGUDEM,KANDRIKAGUDEM
BUTTAYAGUDEM,CHEEMALAVARIGUDEM
BUTTAYAGUDEM,AMMAPALEM
BUTTAYAGUDEM,MERAKAGUDEM
BUTTAYAGUDEM,BANDARLAGUDEM
BUTTAYAGUDEM,KAMAYYAKUNTA
BUTTAYAGUDEM,LANKA PALLE
BUTTAYAGUDEM,LAKSHMIPURAM
BUTTAYAGUDEM,KOVVADA
BUTTAYAGUDEM,MUDDAPPAGUDEM
BUTTAYAGUDEM,BOTHAPPAGUDEM
BUTTAYAGUDEM,NAGAMPALEM
BUTTAYAGUDEM,GANAPAVARAM
BUTTAYAGUDEM,BUTTAYAGUDEM
BUTTAYAGUDEM,RAMANNAGUDEM
BUTTAYAGUDEM,NIMMALAGUDEM
BUTTAYAGUDEM,PALAKUNTA
BUTTAYAGUDEM,ITIKALAKUNTA
BUTTAYAGUDEM,RAVVARIGUDEM
BUTTAYAGUDEM,KOPALLE
BUTTAYAGUDEM,KANNARAPPADU
BUTTAYAGUDEM,ALIVERU
BUTTAYAGUDEM,CHINTALAGUDEM
BUTTAYAGUDEM,ANTARVEDIGUDEM
BUTTAYAGUDEM,MANGAIAH PALEM
BUTTAYAGUDEM,UPPARILLI
BUTTAYAGUDEM,PANDUGUDEM
BUTTAYAGUDEM,GUMMULURU
BUTTAYAGUDEM,GOGUMILLI
BUTTAYAGUDEM,URRINKA
BUTTAYAGUDEM,KOTRUPALLE
BUTTAYAGUDEM,CHAMANAPALLE
BUTTAYAGUDEM,MUNJULURU
BUTTAYAGUDEM,VEERANNA PALEM
BUTTAYAGUDEM,PULIRAMUDUGUDEM
BUTTAYAGUDEM,KURASAKANNAPPAGUDEM
BUTTAYAGUDEM,KOTARAMACHANDRAPURAM
BUTTAYAGUDEM,YERRAYAGUDEM
BUTTAYAGUDEM,GUNJAVARAM
BUTTAYAGUDEM,DANDIPUDI
BUTTAYAGUDEM,JAGGISETTI GUDEM
JEELUGUMILLI,VANKAVARIGUDAM
JEELUGUMILLI,TATIYAKULAGUDEM
JEELUGUMILLI,DANAMVARI GUDEM
JEELUGUMILLI,JEELUGU MILLI
JEELUGUMILLI,MULAGALAMPALLE
JEELUGUMILLI,BARRINKALAPADU
JEELUGUMILLI,NERSU GUDEM
JEELUGUMILLI,ROWTHU GUDEM
JEELUGUMILLI,GANGANNAGUDEM
JEELUGUMILLI,MADAKAMVARI GUDEM
JEELUGUMILLI,PARIMPUDI NARAYANAPURAM
JEELUGUMILLI,P.ANKAM PALEM
JEELUGUMILLI,DATLAVARI GUDEM
JEELUGUMILLI,BOTHAPPA GUDEM
JEELUGUMILLI,JILLULA GUDEM
JEELUGUMILLI,LANKALA PALLE
JEELUGUMILLI,GOPALA PURAM
JEELUGUMILLI,THATIRAMUDU GUDEM
JEELUGUMILLI,VEERAM PALEM
JEELUGUMILLI,ANKANNA GUDEM
JEELUGUMILLI,PUCHIKA PADU
JEELUGUMILLI,JAGANNADHA PURAM
JEELUGUMILLI,RACHANNAGUDEM
JEELUGUMILLI,KAMAYYA PALEM
JEELUGUMILLI,RAMANNAPALEM
JEELUGUMILLI,PALACHERLA RAJAVARAM
JEELUGUMILLI,DARBHAGUDEM
JEELUGUMILLI,SWARNAVARIGUDEM
JEELUGUMILLI,KHANDRIKAPADU
KOYYALAGUDEM,RAMANUJAPURAM
KOYYALAGUDEM,EDUVADALAPALEM
KOYYALAGUDEM,RAJAVARAM
KOYYALAGUDEM,YERRAMPETA
KOYYALAGUDEM,KANAKADRIPURAM
KOYYALAGUDEM,KUNTALAGUDEM
KOYYALAGUDEM,GAVARAVARAM
KOYYALAGUDEM,PONGUTURU
KOYYALAGUDEM,CHOPPARAMANNAGUDEM
KOYYALAGUDEM,BAYYANAGUDEM
KOYYALAGUDEM,MAHADEVAPURAM
KOYYALAGUDEM,SARIPALLE
KOYYALAGUDEM,DIPPAKAYALAPADU
KOYYALAGUDEM,PARIMPUDI
KOYYALAGUDEM,MANGAPATHIDEVIPETA
KOYYALAGUDEM,KANNAPURAM
KOYYALAGUDEM,VEDANTHAPURAM
KOYYALAGUDEM,KANNAYAGUDEM
KUKUNOOR,KUKUNOOR
KUKUNOOR,DACHARAM
KUKUNOOR,RAMACHANDRAPURAM
KUKUNOOR,GOMMUGUDEM
KUKUNOOR,KIVVAKA
KUKUNOOR,SEETHARAMA NAGAR
KUKUNOOR,SRIDHARA
KUKUNOOR,IBRAHIMPETA
KUKUNOOR,GANAPAVARAM
KUKUNOOR,GUMPANAPALLE
KUKUNOOR,ARVAIPALLE
KUKUNOOR,RAVIGUDEM (BIG)
KUKUNOOR,UPPERU
KUKUNOOR,THONDIPAKA
KUKUNOOR,GOMMURU
KUKUNOOR,AMARAVARAM
KUKUNOOR,POLARAM
KUKUNOOR,DAMARACHARLA
KUKUNOOR,MAREDUBAKA
KUKUNOOR,CHEERAVALLI
KUKUNOOR,MADHAVARAM
KUKUNOOR,KOWNDINYAMUKTHI
KUKUNOOR,VINJARAM
KUKUNOOR,KONDAPALLE
KUKUNOOR,POCHARAM
KUKUNOOR,KOMATLAGUDEM
VELAIRPADU,MEDAPALLE
VELAIRPADU,KOIDA
VELAIRPADU,KAKISNOOR
VELAIRPADU,TEKURU
VELAIRPADU,RALLAPUDI
VELAIRPADU,GUNDLAVAI
VELAIRPADU,KOYAMADARAM
VELAIRPADU,TEKUPALLE
VELAIRPADU,LACHAPETA
VELAIRPADU,RAMAVARAM
VELAIRPADU,PARENTAPALLE
VELAIRPADU,KOTHURU
VELAIRPADU,KACHARAM
VELAIRPADU,RUDRAMKOTA
VELAIRPADU,REPAKAGOMMU
VELAIRPADU,THATUKUR
VELAIRPADU,NARLAVARAM
VELAIRPADU,CHIGURUMAMIDI
VELAIRPADU,SIDDARAM
VELAIRPADU,KATUKUR
VELAIRPADU,TIRUMALAPURAM
KAMAVARAPUKOTA,KONDAGUDEM
KAMAVARAPUKOTA,TADIKALAPUDI
KAMAVARAPUKOTA,POLASIGUDEM
KAMAVARAPUKOTA,KALLACHERUVU
KAMAVARAPUKOTA,KHANDRIKASEETHARAMAPURA
KAMAVARAPUKOTA,ANKALAMPADU
KAMAVARAPUKOTA,KAMAVARAPUKOTA
KAMAVARAPUKOTA,VADLAPATLANUTHANAM
KAMAVARAPUKOTA,RAMANNAPALEM
KAMAVARAPUKOTA,EDAVALLI
KAMAVARAPUKOTA,MANKENAPALLE
KAMAVARAPUKOTA,UPPALAPADU
KAMAVARAPUKOTA,GUNTUPALLE
KAMAVARAPUKOTA,RAJUNAGULAPALLE
KAMAVARAPUKOTA,MYSANAGUDEM
KAMAVARAPUKOTA,SAYANARAOPALEM
KAMAVARAPUKOTA,RAVIKAMPADU
T NARASAPURAM,KOTHAVARAM
T NARASAPURAM,RAMANNAPALEM
T NARASAPURAM,ALLAMCHERLARAJUPALEM
T NARASAPURAM,LINGARAOPALEM
T NARASAPURAM,SRIRAMAVARAM
T NARASAPURAM,KRISHNARAOPALEM
T NARASAPURAM,TEDLAM
T NARASAPURAM,RAJUPOTHEPALLI
T NARASAPURAM,GUDLAPALLI
T NARASAPURAM,BANDAMCHERLA
T NARASAPURAM,VALLAMPATLA
T NARASAPURAM,BORRAMPALEM
T NARASAPURAM,KOLLIVARIGUDEM
T NARASAPURAM,TIRUMALADEVIPETA
T NARASAPURAM,EPIGUNTA
T NARASAPURAM,GURAVAIGUDEM
T NARASAPURAM,T.NARASAPURAM
T NARASAPURAM,VAKALAPUDI
T NARASAPURAM,KRISHNAPURAM
T NARASAPURAM,APPALARAJUGUDEM
T NARASAPURAM,BANDIVARIGUDEM
T NARASAPURAM,MAKKINAVARIGUDEM
T NARASAPURAM,VILAGAPADU
DWARAKA TIRUMALA,KOMMARA(NORTH)
DWARAKA TIRUMALA,DADAVALLI
DWARAKA TIRUMALA,TIRUMALAMPALEM
DWARAKA TIRUMALA,KRISHNAPURAM
DWARAKA TIRUMALA,HAVELILINGAPALEM
DWARAKA TIRUMALA,VEMPADU
DWARAKA TIRUMALA,M.NAGULAPALLI
DWARAKA TIRUMALA,JAJULAKUNTA
DWARAKA TIRUMALA,MALASANIKUNTA
DWARAKA TIRUMALA,GOLLAVADIKUNTA KHANDRIK
DWARAKA TIRUMALA,PANGIDIGUDEM
DWARAKA TIRUMALA,SATTALA
DWARAKA TIRUMALA,P.KANNAPURAM
DWARAKA TIRUMALA,SARABHAPURAM
DWARAKA TIRUMALA,GOPIKUNTA KHANDRIKA
DWARAKA TIRUMALA,I.S.RAGHAVAPURAM
DWARAKA TIRUMALA,CHELIKANIVANIPOTHEPALLE
DWARAKA TIRUMALA,GUNNAMPALLE
DWARAKA TIRUMALA,KOMMARA(SOUTH)
DWARAKA TIRUMALA,KODIGUDEM
DWARAKA TIRUMALA,G.KOTHAPALLE
DWARAKA TIRUMALA,NARAYANAPURAM
DWARAKA TIRUMALA,I.S.JAGANNADHAPURAM
DWARAKA TIRUMALA,LINGARAOPALEM
DWARAKA TIRUMALA,DORASANIPADU
DWARAKA TIRUMALA,GUNDUGOLANUKUNTA
DWARAKA TIRUMALA,MALLESWARAM
DWARAKA TIRUMALA,THIMMAPURAM
DWARAKA TIRUMALA,RALLAKUNTA
DWARAKA TIRUMALA,SATHENAGUDEM
DWARAKA TIRUMALA,KOMMUGUDEM
DWARAKA TIRUMALA,VENKATAKRISHNAPURAM
DWARAKA TIRUMALA,RAMANNAGUDEM
DWARAKA TIRUMALA,DWARAKATIRUMALA
NUZVID,RAMANNAGUDEM
NUZVID,POLASANAPALLE
NUZVID,MORSAPUDI
NUZVID,DEVARAGUNTA
NUZVID,VEMPADU
NUZVID,GOLLAPALLE
NUZVID,MIRIJAPURAM
NUZVID,SEETARAMPURAM
NUZVID,PALLERLAMUDI
NUZVID,MARRIBANDAM
NUZVID,BATHULAVARIGUDEM
NUZVID,THUKKULUR M
NUZVID,MOKHASA NARASANNAPALEM
NUZVID,MUKKOLLUPADU
NUZVID,BORAVANCHA
NUZVID,JANGAMGUDEM
NUZVID,DIGAVALLI
NUZVID,ANNAVARAM
NUZVID,HANUMANTHUNIGUDEM
NUZVID,VENKATAYAPALEM
NUZVID,NUZVID
NUZVID,ENAMADALA
NUZVID,RAVICHERLA
NUZVID,PATHUREDDIPALLE
NUZVID,SUNKOLLU
NUZVID,NARSUPET
AGIRIPALLE,POTHAVARAPPADU
AGIRIPALLE,BODDANAPALLE
AGIRIPALLE,GARIKAPATIVARI KHANDRIK
AGIRIPALLE,PINNAMAREDDIPALLE
AGIRIPALLE,NUGONDAPALLE
AGIRIPALLE,CHOPPARAMETLA
AGIRIPALLE,KALATUR
AGIRIPALLE,ADIVINEKKALAM
AGIRIPALLE,ANANTASAGARAM
AGIRIPALLE,VADLAMANU
AGIRIPALLE,EDULAGUDEM
AGIRIPALLE,AGIRIPALLE
AGIRIPALLE,KANASANAPALLE
AGIRIPALLE,THOTAPALLE
AGIRIPALLE,NARASINGAPALEM
AGIRIPALLE,SAGGURU
AGIRIPALLE,KRISHNAVARAM
AGIRIPALLE,TADEPALLE
AGIRIPALLE,MALLESWARAM
AGIRIPALLE,MALLIBOINAPALLE
AGIRIPALLE,EDARA
AGIRIPALLE,VATTIGUDIPADU
AGIRIPALLE,SURAVARAM
CHATRAI,POLAVARAM
CHATRAI,ARUGOLANUPETA
CHATRAI,BURUGUGUDEM
CHATRAI,CHITTAPUR
CHATRAI,KRISHNARAOPALEM
CHATRAI,JANARDHANAVARAM
CHATRAI,TUMMAGUDEM
CHATRAI,SOMAVARAM
CHATRAI,KOTHAGUDEM
CHATRAI,CHATRAI
CHATRAI,POTHANAPALLE
CHATRAI,KOTAPADU
CHATRAI,CHINNAMPET
CHATRAI,PARVATAPURAM
CHATRAI,CHANUBANDA
CHATRAI,MANKOLLU
MUSUNURU,SUREPALLE
MUSUNURU,GOPAVARAM
MUSUNURU,ELLAPURAM
MUSUNURU,BALIVE
MUSUNURU,MUSUNURU
MUSUNURU,TALLAVALLI
MUSUNURU,KORLAGUNTA
MUSUNURU,CHINTALAVALLI
MUSUNURU,AKKIREDDIGUDEM
MUSUNURU,CHAKKAPALLE
MUSUNURU,CHILLABOINAPALLE
MUSUNURU,LOPUDI
MUSUNURU,RAMANAKKAPETA
MUSUNURU,VELPUCHERLA
MUSUNURU,KATRENIPADU
MUSUNURU,GULLAPUDI
CHINTALAPUDI,AMUDALACHALAKA
CHINTALAPUDI,RECHARLA
CHINTALAPUDI,TALARLAPALLE
CHINTALAPUDI,CHINTALAPUDI
CHINTALAPUDI,LAKSHMINARASIMHAPURAM
CHINTALAPUDI,GANIJERLA
CHINTALAPUDI,URLAGUDEM
CHINTALAPUDI,POTHUNURU
CHINTALAPUDI,VENKATARAYAPURAM
CHINTALAPUDI,ENDAPALLE
CHINTALAPUDI,GURUBHATLAGUDEM
CHINTALAPUDI,LINGAGUDEM
CHINTALAPUDI,RAGHAVAPURAM
CHINTALAPUDI,VENKATADRIGUDEM
CHINTALAPUDI,KANUPADE
CHINTALAPUDI,SEETTIVARIGUDEM
CHINTALAPUDI,KANTAMPALEM
CHINTALAPUDI,GOPALAPURAM
CHINTALAPUDI,TEEGALAVANCHA
CHINTALAPUDI,ERRAGUNTAPALLE
CHINTALAPUDI,GUDIPADUKHANDRIKA
CHINTALAPUDI,NAMAVARAM
CHINTALAPUDI,PATTAYAGUDEM
CHINTALAPUDI,RANGAPURAM KHANDRIKA
CHINTALAPUDI,MADDIMETHINAGUDEM
CHINTALAPUDI,UTASAMUDRAM
CHINTALAPUDI,ALLIPALLE
CHINTALAPUDI,SEETHANAGARAM
CHINTALAPUDI,GONNEPALLE
CHINTALAPUDI,CHINTAMPALLE
CHINTALAPUDI,VENKATAPURAM
CHINTALAPUDI,PRAGADAVARAM
CHINTALAPUDI,PONUKUMADU
CHINTALAPUDI,SANKUCHAKRAPURAM
CHINTALAPUDI,THIMMAREDDIPALLE
CHINTALAPUDI,ERRAMPALLE
CHINTALAPUDI,MALLAYAGUDEM
CHINTALAPUDI,VENKAMMAPALEM
LINGAPALEM,KONIJERLA
LINGAPALEM,PUPPULAVARIGUDEM
LINGAPALEM,MULAGALAMPADU
LINGAPALEM,BHOGOLE
LINGAPALEM,CHANDRANNAPALEM
LINGAPALEM,MATTAMGUDEM
LINGAPALEM,TUVVACHALAKARAYUDUPALEM
LINGAPALEM,MUDICHERLA
LINGAPALEM,DHARMAJIGUDEM
LINGAPALEM,KALARAYANAGUDEM
LINGAPALEM,LINGAPALEM
LINGAPALEM,KALYANAMPADU
LINGAPALEM,RANGAPURAM
LINGAPALEM,YEDAVALLI
LINGAPALEM,BADARALA
LINGAPALEM,MALLESWARAM
LINGAPALEM,SINGAGUDEM
LINGAPALEM,KOTHAPALLE
LINGAPALEM,POCHAVARAM
LINGAPALEM,PATCHANAGARAM
LINGAPALEM,KOTHULAGOKAVARAM
LINGAPALEM,GANAPAVARIGUDEM
LINGAPALEM,ASANNAGUDEM
LINGAPALEM,VEMULAPALLE
LINGAPALEM,AYYAPARAJUGUDEM
ELURU(Urban),CHODIMELLA
ELURU(Urban),TANGELLAMUDI
ELURU(Urban),SANIVARAPUPETA
ELURU(Urban),SATRAMPADU
ELURU(Urban),GAVARAVARAM
ELURU(Urban),ELURU (R)
ELURU(Urban),KOMADAVOLE
ELURU(Urban),PONANGI
